,success,more trendy associations,more aktiv associations,more new associations,more altmodisch associations,more design associations,more cold associations,more big associations,more open associations,more african_names associations,more TheExplorer associations,more family associations,more extroverted associations,more introverted associations,more blue_collar associations,more children associations,more white_collar associations,more inside associations,more extrovert associations,more protective associations,more protective associations
success,1.0,0.11108670648679901,0.10121085250074587,0.10056983543209726,0.09413753096373592,0.08874227033112918,0.08524904805800287,0.08486226188071413,0.08483689760910972,0.08423229724780117,0.08392098499339863,-0.0549333994431117,-0.05635072085377301,-0.0573383154499169,-0.06085702684171596,-0.06233327593373839,-0.06317808701516685,-0.06381730871243983,-0.06382902452659753,-0.06855942878043823,-0.0756574481728539
more trendy associations,0.11108670648679901,1.0,0.08553536457812172,0.3316357702141097,0.3616011574047375,0.5493233340818833,0.32352038291664387,0.3837778997865522,0.14792827201828965,0.08617701270060257,0.25307290881197286,0.1291112120365554,0.20481827391225357,0.21501234881885445,-0.018921221641429602,0.11872323120779238,0.1246314098992452,-0.02077585021275322,0.19301676276522745,-0.18021956370002226,-0.08499656661940012
more aktiv associations,0.10121085250074587,0.08553536457812172,1.0,0.0011035747500416915,-0.029261206401059107,0.20858671169064177,0.014904550509681253,0.12273768906255982,0.8207066191983835,-0.13363682261565618,0.3591909503919524,0.06752759373293596,0.13887643907682928,0.10199695032586649,-0.08316432931737959,0.012486732486000574,0.07427700993667498,0.046184559669978864,0.1288262402660987,0.26659099921376284,0.12859088702357052
more new associations,0.10056983543209726,0.3316357702141097,0.0011035747500416915,1.0,0.14480629384272387,0.24158492669349602,0.527506973494576,0.3174274318911079,0.02958458433641537,0.023614108334695787,0.11699794244840839,0.2385791342687934,0.22525098786737685,0.2679307797935488,0.11619325066292893,0.18531104395994827,0.15671325816989812,0.09694887738929527,0.1986498154932407,-0.0956434941901426,0.02732122360696137
more altmodisch associations,0.09413753096373592,0.3616011574047375,-0.029261206401059107,0.14480629384272387,1.0,0.2714287567919129,0.0587223905736916,0.04375163774314304,-0.03080097729477889,0.46496748225590845,0.03101781799310216,-0.18791199749474036,-0.2245573213238313,-0.14034911839880412,-0.25201278860722154,-0.26554837939917036,-0.1947903658632097,-0.21374909239650114,-0.2955247616860873,-0.3214504949895598,-0.2730808731196817
more design associations,0.08874227033112918,0.5493233340818833,0.20858671169064177,0.24158492669349602,0.2714287567919129,1.0,0.32205423480691064,0.5033119932618222,0.32544190184973054,-0.03292034170095179,0.2656104738016723,-0.0793262800335582,0.062318185807194115,0.04066769159685214,-0.013952415733778588,-0.06622686774100968,0.028971821155842487,0.12795015118039543,0.05276038986972516,0.05646941265155681,0.16855171575796807
more cold associations,0.08524904805800287,0.32352038291664387,0.014904550509681253,0.527506973494576,0.0587223905736916,0.32205423480691064,1.0,0.33954828571824913,0.06376345367914271,-0.12837458585267775,0.07854516109613492,0.1633790150429117,0.40291701962803983,0.3808341017450148,0.2133962762160147,0.26931872149466685,0.20974963771554825,0.10211171629509498,0.3927940977947676,0.058208888452173,0.18149962580087461
more big associations,0.08486226188071413,0.3837778997865522,0.12273768906255982,0.3174274318911079,0.04375163774314304,0.5033119932618222,0.33954828571824913,1.0,0.23997943420722034,-0.007663418023521051,0.3371903114298243,0.13658670363941308,0.18242546540121476,0.16782136430143252,0.08976432536923071,0.09857472802818908,0.1647828433004487,0.3413110271530305,0.18275267448406612,0.018512759633510564,0.09098992312832323
more open associations,0.08483689760910972,0.14792827201828965,0.8207066191983835,0.02958458433641537,-0.03080097729477889,0.32544190184973054,0.06376345367914271,0.23997943420722034,1.0,-0.1400390967736766,0.4238479117242415,0.1071095332277182,0.16532420280936785,0.13830920687570455,-0.020480868324897594,0.053056719272375895,0.13485098408123755,0.11079333807475764,0.1628939754087303,0.3113989593560093,0.18755737613005918
more african_names associations,0.08423229724780117,0.08617701270060257,-0.13363682261565618,0.023614108334695787,0.46496748225590845,-0.03292034170095179,-0.12837458585267775,-0.007663418023521051,-0.1400390967736766,1.0,-0.005294703596648539,-0.11831750578736633,-0.30121352793502654,-0.2900579945096656,-0.31059841329861354,-0.2701745502478333,-0.18218817795245384,-0.20905838863269158,-0.34020079039300305,-0.3980859501081474,-0.4454885877104126
more TheExplorer associations,0.08392098499339863,0.25307290881197286,0.3591909503919524,0.11699794244840839,0.03101781799310216,0.2656104738016723,0.07854516109613492,0.3371903114298243,0.4238479117242415,-0.005294703596648539,1.0,0.07099832552327806,0.10167781120695293,0.11059075478392741,0.0011406039267479056,0.007028133305810198,0.001572871804961299,0.00879472309691761,0.09636319245613761,0.10002987543871807,-0.07858355600879695
more family associations,-0.0549333994431117,0.1291112120365554,0.06752759373293596,0.2385791342687934,-0.18791199749474036,-0.0793262800335582,0.1633790150429117,0.13658670363941308,0.1071095332277182,-0.11831750578736633,0.07099832552327806,1.0,0.6590372017775212,0.6624189209448329,0.2876903209546687,0.764541175708068,0.5047558291626694,0.07780746962304161,0.6653537649525689,-0.035692027695891734,-0.0077063498394038255
more extroverted associations,-0.05635072085377301,0.20481827391225357,0.13887643907682928,0.22525098786737685,-0.2245573213238313,0.062318185807194115,0.40291701962803983,0.18242546540121476,0.16532420280936785,-0.30121352793502654,0.10167781120695293,0.6590372017775212,1.0,0.7970155982410138,0.3695338812100091,0.6664303374715935,0.5233696247957329,0.11489380780366407,0.9256801593348403,0.13568460275703115,0.1615143765116657
more introverted associations,-0.0573383154499169,0.21501234881885445,0.10199695032586649,0.2679307797935488,-0.14034911839880412,0.04066769159685214,0.3808341017450148,0.16782136430143252,0.13830920687570455,-0.2900579945096656,0.11059075478392741,0.6624189209448329,0.7970155982410138,1.0,0.30727900888057647,0.6662197695312215,0.4818637928120411,0.11449453943054955,0.7712590697657823,0.07815319496242412,0.12407318040960627
more blue_collar associations,-0.06085702684171596,-0.018921221641429602,-0.08316432931737959,0.11619325066292893,-0.25201278860722154,-0.013952415733778588,0.2133962762160147,0.08976432536923071,-0.020480868324897594,-0.31059841329861354,0.0011406039267479056,0.2876903209546687,0.3695338812100091,0.30727900888057647,1.0,0.3207334287542079,0.41768017610857827,0.08201005975500202,0.38756615073067247,0.13173015566743418,0.20601033140837496
more children associations,-0.06233327593373839,0.11872323120779238,0.012486732486000574,0.18531104395994827,-0.26554837939917036,-0.06622686774100968,0.26931872149466685,0.09857472802818908,0.053056719272375895,-0.2701745502478333,0.007028133305810198,0.764541175708068,0.6664303374715935,0.6662197695312215,0.3207334287542079,1.0,0.41578013473895803,0.09994485024392875,0.6868152050125537,0.06773320931796954,0.12504241394616933
more white_collar associations,-0.06317808701516685,0.1246314098992452,0.07427700993667498,0.15671325816989812,-0.1947903658632097,0.028971821155842487,0.20974963771554825,0.1647828433004487,0.13485098408123755,-0.18218817795245384,0.001572871804961299,0.5047558291626694,0.5233696247957329,0.4818637928120411,0.41768017610857827,0.41578013473895803,1.0,0.09281865755926147,0.5100096149925516,0.02790901336325752,0.11612517283958695
more inside associations,-0.06381730871243983,-0.02077585021275322,0.046184559669978864,0.09694887738929527,-0.21374909239650114,0.12795015118039543,0.10211171629509498,0.3413110271530305,0.11079333807475764,-0.20905838863269158,0.00879472309691761,0.07780746962304161,0.11489380780366407,0.11449453943054955,0.08201005975500202,0.09994485024392875,0.09281865755926147,1.0,0.11348248893386394,0.294342221649015,0.44250466718458176
more extrovert associations,-0.06382902452659753,0.19301676276522745,0.1288262402660987,0.1986498154932407,-0.2955247616860873,0.05276038986972516,0.3927940977947676,0.18275267448406612,0.1628939754087303,-0.34020079039300305,0.09636319245613761,0.6653537649525689,0.9256801593348403,0.7712590697657823,0.38756615073067247,0.6868152050125537,0.5100096149925516,0.11348248893386394,1.0,0.1563240568229645,0.1817773742327941
more protective associations,-0.06855942878043823,-0.18021956370002226,0.26659099921376284,-0.0956434941901426,-0.3214504949895598,0.05646941265155681,0.058208888452173,0.018512759633510564,0.3113989593560093,-0.3980859501081474,0.10002987543871807,-0.035692027695891734,0.13568460275703115,0.07815319496242412,0.13173015566743418,0.06773320931796954,0.02790901336325752,0.294342221649015,0.1563240568229645,1.0,0.6994294908555034
more protective associations,-0.0756574481728539,-0.08499656661940012,0.12859088702357052,0.02732122360696137,-0.2730808731196817,0.16855171575796807,0.18149962580087461,0.09098992312832323,0.18755737613005918,-0.4454885877104126,-0.07858355600879695,-0.0077063498394038255,0.1615143765116657,0.12407318040960627,0.20601033140837496,0.12504241394616933,0.11612517283958695,0.44250466718458176,0.1817773742327941,0.6994294908555034,1.0
