,success,below,untrustworthy,unnatürlich,dead,descriptive,evaluating,traditionell,above,restrictive,math,science,performance,bargain,new,winner,names,names,volkswagen,collar,unsustainable
success,1.0,0.0800671742106239,0.07991139440436822,0.0790901222599774,0.0733769155965522,0.0722036425311772,0.06859558771407998,0.05874038498356419,0.05356583291456441,0.05330835891551213,0.0511966008579941,-0.04381302290990333,-0.045196300705249555,-0.04619904308626104,-0.05355298163203379,-0.05596680415079421,-0.058150677339554264,-0.05909511129590091,-0.06525078850506845,-0.06644029185297907,-0.06644988328593023
below,0.0800671742106239,1.0,0.6650710775885995,0.469512673894174,0.5780267403233863,0.28696467520317204,0.4698137860608415,0.3242046794329469,0.843825494913215,0.709268896990727,0.38025233836470423,0.09272120328759942,-0.3616603209452095,-0.13749226167652123,0.15547078269695808,-0.15696047787905573,-0.4320181737152916,-0.40592600960153663,-0.3820212718227141,0.08162915831950031,0.1661687519896594
untrustworthy,0.07991139440436822,0.6650710775885995,1.0,0.3932856527449328,0.753011487788361,0.19608727722045016,0.3647863102920367,0.6301972526454295,0.8000511001975592,0.5951134373887246,0.3491796531440611,0.2120679397868823,-0.18960360507188684,-0.23273430627117145,0.2875773276120825,0.008081837738534178,-0.22237173907855506,-0.3134760525677236,-0.5217102058951616,0.1357690964098292,0.22464236907533658
unnatürlich,0.0790901222599774,0.469512673894174,0.3932856527449328,1.0,0.490225505743331,0.464206811907545,0.570389958873436,0.3318879513063021,0.35943385285629176,0.6996631713425076,0.3347751800779225,0.5390220384934764,-0.4661863480627676,-0.28612041812692196,0.254698772556509,-0.3694402291563882,-0.5271008948661445,-0.09478229057779382,-0.06361994038519363,0.14609796540769784,0.5072385179788541
dead,0.0733769155965522,0.5780267403233863,0.753011487788361,0.490225505743331,1.0,0.31690310269683925,0.5589251888502402,0.6898892947091043,0.6735084621396149,0.57501435931708,0.3909325746138183,0.377662235794065,-0.3112777511319026,-0.33023474919406026,0.43919027187638826,-0.07261467556267846,-0.3061698128753184,-0.2537871735431271,-0.42029185783330253,0.11711411737462232,0.3208410155416554
descriptive,0.0722036425311772,0.28696467520317204,0.19608727722045016,0.464206811907545,0.31690310269683925,1.0,0.5924765292557521,0.14724548376993474,0.17439500836675345,0.17618458773293488,0.37717411688505587,0.5367136095993706,-0.019479302206155027,-0.25678239699535965,0.25132070673058376,-0.17794002146120666,-0.28237603738840933,-0.27050316324833334,-0.25381755025705455,-0.1786673846350685,0.33844331151664303
evaluating,0.06859558771407998,0.4698137860608415,0.3647863102920367,0.570389958873436,0.5589251888502402,0.5924765292557521,1.0,0.25392595078494673,0.4440422928217915,0.4246237843389145,0.6189387390377744,0.4783761376375811,-0.28075457803623477,-0.15479505189774964,0.2432540642844927,0.002485834949810312,-0.40469569166318076,-0.35335328904022173,-0.30166085946895455,0.0726450021981746,0.4080399621554824
traditionell,0.05874038498356419,0.3242046794329469,0.6301972526454295,0.3318879513063021,0.6898892947091043,0.14724548376993474,0.25392595078494673,1.0,0.49290504025198223,0.4074407999801783,0.2697538851264616,0.20333435617358986,-0.08045108041838264,-0.37103859899491365,0.34612363084845343,0.06406154020436458,-0.015032512574598412,0.08700225391600705,-0.2958519542958726,0.05194048607654707,0.2610129610254319
above,0.05356583291456441,0.843825494913215,0.8000511001975592,0.35943385285629176,0.6735084621396149,0.17439500836675345,0.4440422928217915,0.49290504025198223,1.0,0.6523658409175875,0.5104995505256615,0.17282327165469505,-0.25503969735189047,-0.20702884682212008,0.18398218303512542,0.09329304742631263,-0.255197436280487,-0.3803976289100349,-0.4703111228618078,0.1668348362460417,0.2835804751511782
restrictive,0.05330835891551213,0.709268896990727,0.5951134373887246,0.6996631713425076,0.57501435931708,0.17618458773293488,0.4246237843389145,0.4074407999801783,0.6523658409175875,1.0,0.3464800432652943,0.27859917213054014,-0.46235785132663515,-0.19488241838851397,0.1375931720867921,-0.2760793907535749,-0.5191686636873641,-0.21082138185525903,-0.3087045009771889,0.10018442164391,0.31986837896355186
math,0.0511966008579941,0.38025233836470423,0.3491796531440611,0.3347751800779225,0.3909325746138183,0.37717411688505587,0.6189387390377744,0.2697538851264616,0.5104995505256615,0.3464800432652943,1.0,0.3644871393147225,-0.22753808218002672,-0.08160443125298336,0.1314438227494571,0.22331892147977933,-0.117525824765482,-0.300649367891125,-0.27808524430015835,0.09625921363481374,0.41035029651513466
science,-0.04381302290990333,0.09272120328759942,0.2120679397868823,0.5390220384934764,0.377662235794065,0.5367136095993706,0.4783761376375811,0.20333435617358986,0.17282327165469505,0.27859917213054014,0.3644871393147225,1.0,-0.000675212693710387,-0.35942153498973145,0.4146415429600572,-0.06134784746802827,-0.16578536849278921,-0.12921540937228682,-0.09734130839500374,0.25560090445710226,0.7180065121083323
performance,-0.045196300705249555,-0.3616603209452095,-0.18960360507188684,-0.4661863480627676,-0.3112777511319026,-0.019479302206155027,-0.28075457803623477,-0.08045108041838264,-0.25503969735189047,-0.46235785132663515,-0.22753808218002672,-0.000675212693710387,1.0,0.026422639025412073,-0.015218005083875203,0.5775172524190532,0.538861903232521,0.16967766464473039,-0.016152083464068,-0.09971840362041817,-0.18815394594288143
bargain,-0.04619904308626104,-0.13749226167652123,-0.23273430627117145,-0.28612041812692196,-0.33023474919406026,-0.25678239699535965,-0.15479505189774964,-0.37103859899491365,-0.20702884682212008,-0.19488241838851397,-0.08160443125298336,-0.35942153498973145,0.026422639025412073,1.0,-0.10290892432297516,0.0774942041463707,-0.153484638783785,-0.2437040895869079,0.07584204648843086,-0.202430662951578,-0.20532964724104433
new,-0.05355298163203379,0.15547078269695808,0.2875773276120825,0.254698772556509,0.43919027187638826,0.25132070673058376,0.2432540642844927,0.34612363084845343,0.18398218303512542,0.1375931720867921,0.1314438227494571,0.4146415429600572,-0.015218005083875203,-0.10290892432297516,1.0,-0.010963471510939463,-0.19540487132443715,-0.02177831217177361,0.07305097583870508,0.09481951202398614,0.5052604907533126
winner,-0.05596680415079421,-0.15696047787905573,0.008081837738534178,-0.3694402291563882,-0.07261467556267846,-0.17794002146120666,0.002485834949810312,0.06406154020436458,0.09329304742631263,-0.2760793907535749,0.22331892147977933,-0.06134784746802827,0.5775172524190532,0.0774942041463707,-0.010963471510939463,1.0,0.5943206957259994,0.14200648702350985,-0.07729555360793777,-0.001398055818729981,-0.02588261311943942
names,-0.058150677339554264,-0.4320181737152916,-0.22237173907855506,-0.5271008948661445,-0.3061698128753184,-0.28237603738840933,-0.40469569166318076,-0.015032512574598412,-0.255197436280487,-0.5191686636873641,-0.117525824765482,-0.16578536849278921,0.538861903232521,-0.153484638783785,-0.19540487132443715,0.5943206957259994,1.0,0.37037433833367034,0.00905159576262961,-0.013847812889683345,-0.26612119819623165
names,-0.05909511129590091,-0.40592600960153663,-0.3134760525677236,-0.09478229057779382,-0.2537871735431271,-0.27050316324833334,-0.35335328904022173,0.08700225391600705,-0.3803976289100349,-0.21082138185525903,-0.300649367891125,-0.12921540937228682,0.16967766464473039,-0.2437040895869079,-0.02177831217177361,0.14200648702350985,0.37037433833367034,1.0,0.42519588945830755,-0.16268600898012867,-0.10777339030990363
volkswagen,-0.06525078850506845,-0.3820212718227141,-0.5217102058951616,-0.06361994038519363,-0.42029185783330253,-0.25381755025705455,-0.30166085946895455,-0.2958519542958726,-0.4703111228618078,-0.3087045009771889,-0.27808524430015835,-0.09734130839500374,-0.016152083464068,0.07584204648843086,0.07305097583870508,-0.07729555360793777,0.00905159576262961,0.42519588945830755,1.0,0.23248838502461003,-0.0065379025378874646
collar,-0.06644029185297907,0.08162915831950031,0.1357690964098292,0.14609796540769784,0.11711411737462232,-0.1786673846350685,0.0726450021981746,0.05194048607654707,0.1668348362460417,0.10018442164391,0.09625921363481374,0.25560090445710226,-0.09971840362041817,-0.202430662951578,0.09481951202398614,-0.001398055818729981,-0.013847812889683345,-0.16268600898012867,0.23248838502461003,1.0,0.15314947119309424
unsustainable,-0.06644988328593023,0.1661687519896594,0.22464236907533658,0.5072385179788541,0.3208410155416554,0.33844331151664303,0.4080399621554824,0.2610129610254319,0.2835804751511782,0.31986837896355186,0.41035029651513466,0.7180065121083323,-0.18815394594288143,-0.20532964724104433,0.5052604907533126,-0.02588261311943942,-0.26612119819623165,-0.10777339030990363,-0.0065379025378874646,0.15314947119309424,1.0
