,success,trust,altmodisch,basic,names,weapon,restrictive,volkswagen,pleasant,cool,female,science,career,collar,community,evaluating,kompliziert,descriptive,TheSage,TheHero,TheRuler
success,1.0,0.10419453985168273,0.09229968178868135,0.07184276357747793,0.06902759998221998,0.037227782328615205,0.03606420267026703,0.027768400562430164,0.018952216037108605,0.0185956995094849,0.01568184631492094,-0.12887415244936473,-0.13730394842444799,-0.1373857150641945,-0.13840315313832482,-0.13883906620695718,-0.14008576086509103,-0.1417307240256869,-0.15009830620620926,-0.15115684732372517,-0.1704835693493876
trust,0.10419453985168273,1.0,0.04320664980923081,-0.41876979723028435,0.4178629962474416,-0.24287553911229212,-0.37365740052993296,0.413591816428746,-0.7273766690127512,-0.6190374314476832,-0.5474371153982538,-0.40352866120263253,-0.6108229970427331,-0.399105035080165,-0.4495586930022654,-0.36674139568205055,-0.6151021438814525,-0.26166473787127614,-0.5087129723842896,-0.6009443310799633,-0.43312222316664734
altmodisch,0.09229968178868135,0.04320664980923081,1.0,0.219166591028152,0.40692197573322636,0.012825503096383277,-0.2301689246584441,0.09196446121068104,0.1788442290654951,0.053651780971976024,0.09986782399061604,-0.045820151291102854,-0.3838500219435178,-0.06719583170560245,-0.12244817683972772,-0.24373319639187338,-0.15155853799057703,0.1557918195590909,-0.08821529993047768,-0.0764074832788959,-0.17255874800214346
basic,0.07184276357747793,-0.41876979723028435,0.219166591028152,1.0,0.05492728801766334,0.3606393300185642,0.4050482109995214,-0.18856741274347955,0.5931800388499272,0.5183876668130832,0.5182104703726312,-0.039606799661200655,-0.026037950040476408,-0.09371315150748742,-0.09657609679557608,-0.1518006505631309,0.023057724850431623,-0.19125078852256414,-0.08882815377924752,0.14268425890954103,-0.12996540715989402
names,0.06902759998221998,0.4178629962474416,0.40692197573322636,0.05492728801766334,1.0,0.04616711971066534,-0.2700610567148734,0.3106239295174409,-0.20996825868834626,-0.257444652290648,0.14019282905600267,-0.2136314365026469,-0.4562484763014499,-0.08683357355197036,-0.23441825580098807,-0.41141390371623215,-0.47273669037086474,-0.2959761370447696,-0.20268332095793817,-0.14271223284728338,-0.17513102612928752
weapon,0.037227782328615205,-0.24287553911229212,0.012825503096383277,0.3606393300185642,0.04616711971066534,1.0,0.48612588855663075,0.1690672569009078,0.15827940418064868,0.2267528450635558,0.12974569663446633,0.07695951112203235,-0.024249081180460107,-0.21752813529686083,-0.26443084743951745,0.06446311921095985,0.10282023544423305,-0.0318824913183776,-0.09664191377175607,-0.013070972971245645,0.029604775240749497
restrictive,0.03606420267026703,-0.37365740052993296,-0.2301689246584441,0.4050482109995214,-0.2700610567148734,0.48612588855663075,1.0,-0.16928449130275158,0.34338556557348754,0.543545115651651,0.11233473357710487,0.2791283025876657,0.3480024833742919,-0.1466695280405867,-0.031067367813536785,0.3994767611969311,0.4906660236678179,0.1483503315433738,0.16216497135460192,0.1198764971183926,0.22325713666993877
volkswagen,0.027768400562430164,0.413591816428746,0.09196446121068104,-0.18856741274347955,0.3106239295174409,0.1690672569009078,-0.16928449130275158,1.0,-0.45688800147547987,-0.37355741763545286,-0.3958328558962617,-0.27143930341769146,-0.429160199547803,-0.38632532804672415,-0.39167349268632756,-0.21885023108441962,-0.39872742907897435,-0.2593850505245433,-0.41784492045276495,-0.4302613566759296,-0.20689920801073006
pleasant,0.018952216037108605,-0.7273766690127512,0.1788442290654951,0.5931800388499272,-0.20996825868834626,0.15827940418064868,0.34338556557348754,-0.45688800147547987,1.0,0.842266997101262,0.7022846994150216,0.3354320127173783,0.4760470521300384,0.31398086377614887,0.34356830494205964,0.0708889353530219,0.4405486165409547,0.07437442187622215,0.397849086552898,0.6112382835569391,0.28642661392583185
cool,0.0185956995094849,-0.6190374314476832,0.053651780971976024,0.5183876668130832,-0.257444652290648,0.2267528450635558,0.543545115651651,-0.37355741763545286,0.842266997101262,1.0,0.457490234281328,0.3571785449187088,0.4252242368516827,0.13265317048377565,0.16217494958100975,0.1901697319203613,0.5115324737006158,0.1355579700321226,0.32018748456130947,0.498273155385791,0.27302459752529085
female,0.01568184631492094,-0.5474371153982538,0.09986782399061604,0.5182104703726312,0.14019282905600267,0.12974569663446633,0.11233473357710487,-0.3958328558962617,0.7022846994150216,0.457490234281328,1.0,0.08163730958165033,0.34728384169270893,0.4682520335183903,0.34516023305257987,-0.1047507680766066,0.16899458845325188,-0.17304228565220275,0.3471748359383521,0.5656366425432776,0.22951007359078318
science,-0.12887415244936473,-0.40352866120263253,-0.045820151291102854,-0.039606799661200655,-0.2136314365026469,0.07695951112203235,0.2791283025876657,-0.27143930341769146,0.3354320127173783,0.3571785449187088,0.08163730958165033,1.0,0.6324021616010832,0.36326727717423146,0.47926868770038755,0.526378872155316,0.680474113852265,0.5747894356247623,0.7718198338514741,0.5735012515528289,0.6491611615992748
career,-0.13730394842444799,-0.6108229970427331,-0.3838500219435178,-0.026037950040476408,-0.4562484763014499,-0.024249081180460107,0.3480024833742919,-0.429160199547803,0.4760470521300384,0.4252242368516827,0.34728384169270893,0.6324021616010832,1.0,0.600080103176834,0.7273030149963825,0.5483616850776077,0.7675599115633168,0.35702434424339924,0.8030226466935388,0.7253250817551612,0.7968349863824631
collar,-0.1373857150641945,-0.399105035080165,-0.06719583170560245,-0.09371315150748742,-0.08683357355197036,-0.21752813529686083,-0.1466695280405867,-0.38632532804672415,0.31398086377614887,0.13265317048377565,0.4682520335183903,0.36326727717423146,0.600080103176834,1.0,0.6019360223213783,0.22795064679798252,0.431214627315295,0.17407569061805217,0.7347298968626025,0.6513771184125325,0.5582398955628453
community,-0.13840315313832482,-0.4495586930022654,-0.12244817683972772,-0.09657609679557608,-0.23441825580098807,-0.26443084743951745,-0.031067367813536785,-0.39167349268632756,0.34356830494205964,0.16217494958100975,0.34516023305257987,0.47926868770038755,0.7273030149963825,0.6019360223213783,1.0,0.3176786342487587,0.5067193429683159,0.32631722306644817,0.7262436545257214,0.6686659923972131,0.7108928420510396
evaluating,-0.13883906620695718,-0.36674139568205055,-0.24373319639187338,-0.1518006505631309,-0.41141390371623215,0.06446311921095985,0.3994767611969311,-0.21885023108441962,0.0708889353530219,0.1901697319203613,-0.1047507680766066,0.526378872155316,0.5483616850776077,0.22795064679798252,0.3176786342487587,1.0,0.7343041141548813,0.5817913921077784,0.5790709970080601,0.37184711654679725,0.5573454178659587
kompliziert,-0.14008576086509103,-0.6151021438814525,-0.15155853799057703,0.023057724850431623,-0.47273669037086474,0.10282023544423305,0.4906660236678179,-0.39872742907897435,0.4405486165409547,0.5115324737006158,0.16899458845325188,0.680474113852265,0.7675599115633168,0.431214627315295,0.5067193429683159,0.7343041141548813,1.0,0.6862249734470511,0.7922237707080696,0.6503791341648562,0.7204535710475817
descriptive,-0.1417307240256869,-0.26166473787127614,0.1557918195590909,-0.19125078852256414,-0.2959761370447696,-0.0318824913183776,0.1483503315433738,-0.2593850505245433,0.07437442187622215,0.1355579700321226,-0.17304228565220275,0.5747894356247623,0.35702434424339924,0.17407569061805217,0.32631722306644817,0.5817913921077784,0.6862249734470511,1.0,0.5794459462273267,0.31482232988726033,0.4711865012647922
TheSage,-0.15009830620620926,-0.5087129723842896,-0.08821529993047768,-0.08882815377924752,-0.20268332095793817,-0.09664191377175607,0.16216497135460192,-0.41784492045276495,0.397849086552898,0.32018748456130947,0.3471748359383521,0.7718198338514741,0.8030226466935388,0.7347298968626025,0.7262436545257214,0.5790709970080601,0.7922237707080696,0.5794459462273267,1.0,0.7964705421422192,0.8280877785671145
TheHero,-0.15115684732372517,-0.6009443310799633,-0.0764074832788959,0.14268425890954103,-0.14271223284728338,-0.013070972971245645,0.1198764971183926,-0.4302613566759296,0.6112382835569391,0.498273155385791,0.5656366425432776,0.5735012515528289,0.7253250817551612,0.6513771184125325,0.6686659923972131,0.37184711654679725,0.6503791341648562,0.31482232988726033,0.7964705421422192,1.0,0.7509195787198639
TheRuler,-0.1704835693493876,-0.43312222316664734,-0.17255874800214346,-0.12996540715989402,-0.17513102612928752,0.029604775240749497,0.22325713666993877,-0.20689920801073006,0.28642661392583185,0.27302459752529085,0.22951007359078318,0.6491611615992748,0.7968349863824631,0.5582398955628453,0.7108928420510396,0.5573454178659587,0.7204535710475817,0.4711865012647922,0.8280877785671145,0.7509195787198639,1.0
