,success,volkswagen,bargain,inaktiv,rachel,innovative,trust,technical,power,cool,lazy,traditionell,names,female,unpleasant,names,dead,male,arts,arts,names
success,1.0,0.09754996209991355,0.08727508277809184,0.0736573294282885,0.07228320323124095,0.07228320323124095,0.06550735802471382,0.053404050943571375,0.050334175070983894,0.04976896453877061,0.04794166424965299,-0.07012430447430475,-0.07419389051618305,-0.07527521135432913,-0.07800932271744991,-0.07977520734234049,-0.08149785986387365,-0.08180585083533477,-0.09574332401975771,-0.09574332401975771,-0.10529331798949725
volkswagen,0.09754996209991355,1.0,0.11947731790548469,-0.28855300221718694,0.20103899981820594,0.20103899981820594,0.41301086109290447,0.17517704560291958,-0.0129616073602022,-0.26962474667485165,-0.2680952792700878,-0.15641996273829384,-0.0688011088035258,-0.3881744435638628,-0.30262075180097353,0.13157400633426075,-0.31709634495743,-0.25496271574439267,-0.33253364725761847,-0.33253364725761847,0.12290478373187175
bargain,0.08727508277809184,0.11947731790548469,1.0,-0.17524612692434724,-0.15440849444040275,-0.15440849444040275,0.047334190256465764,-0.22592051831812884,-0.278718203684532,-0.22829268889467375,-0.2425644277092755,-0.4032700066023242,-0.17674701553751396,-0.18104106207599183,-0.33944803138298596,-0.3688078536708595,-0.35304006534814364,-0.25084776525865327,-0.31640361124667776,-0.31640361124667776,-0.23496296202049008
inaktiv,0.0736573294282885,-0.28855300221718694,-0.17524612692434724,1.0,0.25801548576694694,0.25801548576694694,-0.5238531489594065,0.38798248473243013,0.5474909317027773,0.7229515103525603,0.9148953631384299,0.2997791548875731,-0.36625328147621644,0.22887058069281133,0.3825250755514915,-0.4185011898713402,0.4940869091598309,0.2582254610221149,-0.0604062601887204,-0.0604062601887204,-0.4941672880129177
rachel,0.07228320323124095,0.20103899981820594,-0.15440849444040275,0.25801548576694694,1.0,1.0,0.14293224698157972,0.8616963808420516,0.31009795206383517,0.17640804108014727,0.2606632078871243,0.0007743502811506035,-0.36673612370183495,-0.49630597989681724,-0.3778443969882185,-0.20726990035661474,0.10293177650318272,-0.42798079888712914,-0.15927174288504822,-0.15927174288504822,-0.2552556620194301
innovative,0.07228320323124095,0.20103899981820594,-0.15440849444040275,0.25801548576694694,1.0,1.0,0.14293224698157972,0.8616963808420516,0.31009795206383517,0.17640804108014727,0.2606632078871243,0.0007743502811506035,-0.36673612370183495,-0.49630597989681724,-0.3778443969882185,-0.20726990035661474,0.10293177650318272,-0.42798079888712914,-0.15927174288504822,-0.15927174288504822,-0.2552556620194301
trust,0.06550735802471382,0.41301086109290447,0.047334190256465764,-0.5238531489594065,0.14293224698157972,0.14293224698157972,1.0,0.0014028653886154292,-0.31761628582201223,-0.5895589982091503,-0.6330310914258545,-0.49956719069770383,0.02450125611911848,-0.5952894984170546,-0.6002481539764973,0.25390146894956594,-0.5628753386343509,-0.599399342655036,-0.40194275249213646,-0.40194275249213646,0.17393498528706214
technical,0.053404050943571375,0.17517704560291958,-0.22592051831812884,0.38798248473243013,0.8616963808420516,0.8616963808420516,0.0014028653886154292,1.0,0.4038208135068661,0.2955808832924847,0.41856846821597493,-0.02925091364459266,-0.4760848714100721,-0.48713061047088213,-0.2677205225790256,-0.366139659460659,0.14191195879480412,-0.38329791404963576,-0.23646167040947522,-0.23646167040947522,-0.45087734551630243
power,0.050334175070983894,-0.0129616073602022,-0.278718203684532,0.5474909317027773,0.31009795206383517,0.31009795206383517,-0.31761628582201223,0.4038208135068661,1.0,0.5735453639660976,0.6275416017290086,0.34817987003045925,-0.36688183366794785,0.1926846636151917,0.4776320479475516,-0.08976566498737179,0.402675923644199,0.3002086281072417,-0.003921519666388826,-0.003921519666388826,-0.21405057694828644
cool,0.04976896453877061,-0.26962474667485165,-0.22829268889467375,0.7229515103525603,0.17640804108014727,0.17640804108014727,-0.5895589982091503,0.2955808832924847,0.5735453639660976,1.0,0.8850667883908215,0.48923825539608434,-0.21384954627921593,0.45725872814625373,0.5363342311288691,-0.12676155053709526,0.44748088105790274,0.44684962440970055,0.27528378948280274,0.27528378948280274,-0.17315766038142727
lazy,0.04794166424965299,-0.2680952792700878,-0.2425644277092755,0.9148953631384299,0.2606632078871243,0.2606632078871243,-0.6330310914258545,0.41856846821597493,0.6275416017290086,0.8850667883908215,1.0,0.473433769388073,-0.4005405631950435,0.3399252999478801,0.5214257860503466,-0.35296389707164616,0.6082224654290348,0.38071813277939737,0.08792114065350388,0.08792114065350388,-0.4264363075367971
traditionell,-0.07012430447430475,-0.15641996273829384,-0.4032700066023242,0.2997791548875731,0.0007743502811506035,0.0007743502811506035,-0.49956719069770383,-0.02925091364459266,0.34817987003045925,0.48923825539608434,0.473433769388073,1.0,0.020182173361712456,0.606215502678812,0.6480645711074786,0.2274719336606191,0.6432118383656106,0.6551153688372083,0.5554461652571338,0.5554461652571338,0.2510999648443114
names,-0.07419389051618305,-0.0688011088035258,-0.17674701553751396,-0.36625328147621644,-0.36673612370183495,-0.36673612370183495,0.02450125611911848,-0.4760848714100721,-0.36688183366794785,-0.21384954627921593,-0.4005405631950435,0.020182173361712456,1.0,0.3402588321096992,0.06411222310083836,0.6497325632235533,-0.2695167728650282,0.2783298674985962,0.4739334452050675,0.4739334452050675,0.7649001361978135
female,-0.07527521135432913,-0.3881744435638628,-0.18104106207599183,0.22887058069281133,-0.49630597989681724,-0.49630597989681724,-0.5952894984170546,-0.48713061047088213,0.1926846636151917,0.45725872814625373,0.3399252999478801,0.606215502678812,0.3402588321096992,1.0,0.8041671480740711,0.33838531833240376,0.43507401300231713,0.941531207977124,0.627303706210996,0.627303706210996,0.3694988303268057
unpleasant,-0.07800932271744991,-0.30262075180097353,-0.33944803138298596,0.3825250755514915,-0.3778443969882185,-0.3778443969882185,-0.6002481539764973,-0.2677205225790256,0.4776320479475516,0.5363342311288691,0.5214257860503466,0.6480645711074786,0.06411222310083836,0.8041671480740711,1.0,0.2281438688969835,0.6552908873051568,0.8414321709553052,0.4286477405045961,0.4286477405045961,0.14583113632994252
names,-0.07977520734234049,0.13157400633426075,-0.3688078536708595,-0.4185011898713402,-0.20726990035661474,-0.20726990035661474,0.25390146894956594,-0.366139659460659,-0.08976566498737179,-0.12676155053709526,-0.35296389707164616,0.2274719336606191,0.6497325632235533,0.33838531833240376,0.2281438688969835,1.0,-0.11517257452257718,0.3310680090834564,0.4556253990284381,0.4556253990284381,0.9036617309616599
dead,-0.08149785986387365,-0.31709634495743,-0.35304006534814364,0.4940869091598309,0.10293177650318272,0.10293177650318272,-0.5628753386343509,0.14191195879480412,0.402675923644199,0.44748088105790274,0.6082224654290348,0.6432118383656106,-0.2695167728650282,0.43507401300231713,0.6552908873051568,-0.11517257452257718,1.0,0.492993745285984,0.29596615711103325,0.29596615711103325,-0.19925591995208408
male,-0.08180585083533477,-0.25496271574439267,-0.25084776525865327,0.2582254610221149,-0.42798079888712914,-0.42798079888712914,-0.599399342655036,-0.38329791404963576,0.3002086281072417,0.44684962440970055,0.38071813277939737,0.6551153688372083,0.2783298674985962,0.941531207977124,0.8414321709553052,0.3310680090834564,0.492993745285984,1.0,0.5684104501824454,0.5684104501824454,0.33292343945613906
arts,-0.09574332401975771,-0.33253364725761847,-0.31640361124667776,-0.0604062601887204,-0.15927174288504822,-0.15927174288504822,-0.40194275249213646,-0.23646167040947522,-0.003921519666388826,0.27528378948280274,0.08792114065350388,0.5554461652571338,0.4739334452050675,0.627303706210996,0.4286477405045961,0.4556253990284381,0.29596615711103325,0.5684104501824454,1.0,1.0,0.5646206371479038
arts,-0.09574332401975771,-0.33253364725761847,-0.31640361124667776,-0.0604062601887204,-0.15927174288504822,-0.15927174288504822,-0.40194275249213646,-0.23646167040947522,-0.003921519666388826,0.27528378948280274,0.08792114065350388,0.5554461652571338,0.4739334452050675,0.627303706210996,0.4286477405045961,0.4556253990284381,0.29596615711103325,0.5684104501824454,1.0,1.0,0.5646206371479038
names,-0.10529331798949725,0.12290478373187175,-0.23496296202049008,-0.4941672880129177,-0.2552556620194301,-0.2552556620194301,0.17393498528706214,-0.45087734551630243,-0.21405057694828644,-0.17315766038142727,-0.4264363075367971,0.2510999648443114,0.7649001361978135,0.3694988303268057,0.14583113632994252,0.9036617309616599,-0.19925591995208408,0.33292343945613906,0.5646206371479038,0.5646206371479038,1.0
